Sample,Replicate,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,CK,CL,CM,CN,Corig
Sample1,R1,565,749,994,839,808,1716,1299,1412,1725,2240,2450,2571,2567,2644,3248
Sample2,R1,606,762,1010,850,881,1636,1334,1411,1709,2271,2495,2681,2591,2729,3431
Sample3,R1,818,880,1082,1142,1114,1929,1692,1746,2176,4524,2822,2762,2922,3261,3823
Sample4,R1,1248,1120,1482,1739,2510,2010,1780,2639,2209,4408,2957,3192,3401,3484,4243
Sample5,R2,565,749,994,839,808,1716,1299,1412,1725,2240,2450,2571,2567,2644,3248
Sample6,R2,606,762,1010,850,881,1636,1334,1411,1709,2271,2495,2681,2591,2729,3431
Sample7,R2,818,880,1082,1142,1114,1929,1692,1746,2176,4524,2822,2762,2922,3261,3823
Sample8,R2,1248,1120,1482,1739,2510,2010,1780,2639,2209,4408,2957,3192,3401,3484,4243
Sample9,R3,565,749,994,839,808,1716,1299,1412,1725,2240,2450,2571,2567,2644,3248
Sample10,R3,606,762,1010,850,881,1636,1334,1411,1709,2271,2495,2681,2591,2729,3431
Sample11,R3,818,880,1082,1142,1114,1929,1692,1746,2176,4524,2822,2762,2922,3261,3823
Sample12,R3,1248,1120,1482,1739,2510,2010,1780,2639,2209,4408,2957,3192,3401,3484,4243
Sample13,R4,565,749,994,839,808,1716,1299,1412,1725,2240,2450,2571,2567,2644,3248
Sample14,R4,606,762,1010,850,881,1636,1334,1411,1709,2271,2495,2681,2591,2729,3431
Sample15,R4,818,880,1082,1142,1114,1929,1692,1746,2176,4524,2822,2762,2922,3261,3823
Sample16,R4,1248,1120,1482,1739,2510,2010,1780,2639,2209,4408,2957,3192,3401,3484,4243
Kan,,0,25,50,75,100,150,200,250,350,500,750,1000,1250,1500,
